name,discipline,region,vertical,years_experience,seniority,domain,communication,timezone,bandwidth,availability_status,available_in_weeks
Allison Hill,Frontend,EMEA,Media,10,60,26,66,49,80,Available,0
Noah Rhodes,Backend,Americas,Logistics,9,47,32,64,85,31,Partially committed,2
Angie Henderson,Cloud,Americas,FinTech,13,63,33,63,86,98,Available,0
Daniel Wagner,Backend,EMEA,FinTech,22,80,48,38,49,44,Available,0
Cristian Santos,DevOps,APAC,SaaS,11,45,40,45,40,56,Partially committed,3
Connie Lawrence,Frontend,Americas,E-commerce,7,45,51,31,99,60,Available,0
Abigail Shaffer,Frontend,Americas,Government,19,82,48,63,75,32,Available,0
Gina Moore,Data / Database,Americas,SaaS,11,65,22,71,77,45,Available,0
Gabrielle Davis,Cloud,APAC,Telecom,11,41,59,50,24,87,Partially committed,1
Ryan Munoz,Frontend,EMEA,Healthcare,13,61,33,71,42,83,Partially committed,4
Monica Herrera,AI / ML,EMEA,SaaS,9,41,40,50,46,62,Partially committed,2
Jamie Arnold,Backend,APAC,Logistics,12,41,50,27,37,78,Available,0
Lisa Hensley,Frontend,Americas,Healthcare,10,55,44,17,81,63,Available,0
Michele Williams,Backend,APAC,EdTech,0,12,45,33,47,62,Available,0
Dylan Miller,Frontend,APAC,Government,2,16,39,30,25,47,Available,0
Brian Ramirez,Frontend,EMEA,SaaS,11,39,31,31,59,41,Available,0
Holly Wood,Networking,APAC,Telecom,4,30,65,16,19,44,Partially committed,1
Derek Zuniga,Data / Database,APAC,FinTech,7,56,41,43,27,87,Available,0
Lisa Jackson,Backend,Americas,Logistics,6,32,35,38,83,77,Available,0
Carla Gray,Other,Americas,FinTech,6,22,51,45,61,90,Available,0
Margaret Hawkins DDS,Backend,EMEA,Other,20,79,58,67,47,59,Available,0
Patty Perez,Frontend,Americas,Government,9,45,47,70,88,39,Available,0
Ethan Adams,Backend,APAC,Other,11,51,78,36,34,68,Available,0
Tommy Walter,Backend,APAC,Telecom,7,22,35,48,16,86,Available,0
Matthew Foster,Data / Database,APAC,Government,5,39,31,45,24,71,Partially committed,4
Judy Baker,Backend,EMEA,Government,11,52,45,61,31,29,Available,0
Justin Baker,Data / Database,Americas,FinTech,6,27,53,32,82,31,Partially committed,2
Stephanie Ross,Cloud,APAC,E-commerce,14,58,25,69,41,67,Available,0
Zachary Hicks,Networking,Americas,Logistics,7,38,11,48,95,52,Available,0
Anthony Rodriguez,Cloud,Americas,FinTech,10,44,34,38,95,63,Available,0
Rebecca Henderson,Backend,Americas,Gaming,3,38,11,44,87,44,Available,0
James Ferrell,Frontend,Americas,Media,18,87,46,65,94,52,Available,0
Tricia Valencia,DevOps,EMEA,E-commerce,12,50,51,57,53,34,Available,0
Nathan Maldonado,Backend,EMEA,Media,4,29,23,23,50,65,Partially committed,1
Debra Davidson,Frontend,EMEA,SaaS,15,66,28,58,66,67,Partially committed,2
Jeffrey Chavez,Data / Database,APAC,Media,7,26,39,43,31,76,Available,0
Sherri Baker,Backend,APAC,Media,11,54,56,53,10,29,Available,0
Cassandra Gaines,Cloud,APAC,SaaS,3,11,10,49,40,72,Available,0
Elizabeth Fowler,Backend,EMEA,FinTech,3,23,45,48,53,49,Partially committed,1
Brittany Farmer,Other,Americas,E-commerce,12,54,55,52,75,86,Partially committed,1
Paula Moreno,Cloud,EMEA,Other,16,65,62,60,65,72,Available,0
Fred Smith,Frontend,APAC,Government,12,53,62,56,36,56,Available,0
Sherry Decker,Data / Database,APAC,Logistics,9,48,72,54,18,99,Available,0
Anthony Humphrey,DevOps,Americas,Healthcare,10,44,37,21,80,42,Available,0
Angelica Tucker,Cloud,EMEA,SaaS,6,20,39,31,46,60,Available,0
Philip Cannon,Data / Database,Americas,Media,4,36,29,22,73,69,Partially committed,1
John Pierce,Data / Database,EMEA,Gaming,11,41,44,63,25,98,Partially committed,4
Shane Henderson,Backend,APAC,Media,15,71,70,60,18,81,Available,0
Joshua Blair,Backend,Americas,Gaming,13,57,27,51,80,71,Partially committed,3
Eric Carney,Other,Americas,Telecom,6,15,25,45,54,45,Available,0
Jessica Holmes,Backend,EMEA,Other,10,56,61,59,41,37,Partially committed,1
Danny Morgan,Frontend,EMEA,Healthcare,8,42,54,30,61,71,Partially committed,1
Crystal Robinson,Frontend,EMEA,SaaS,8,36,34,42,41,33,Available,0
Mark Perez,AI / ML,APAC,FinTech,12,62,57,51,26,60,Available,0
Shannon Jones,DevOps,EMEA,Logistics,19,71,58,36,38,68,Available,0
Michael Lewis,Networking,APAC,FinTech,14,69,67,50,32,23,Partially committed,2
Timothy Duncan,Networking,EMEA,Media,6,33,39,39,52,72,Available,0
Richard Aguirre,Networking,EMEA,Government,10,44,57,45,46,75,Partially committed,2
Brent Jordan,DevOps,APAC,Government,10,57,79,33,2,47,Available,0
John Daniel,Frontend,EMEA,Telecom,15,70,56,76,46,49,Available,0
Victoria Garcia,Frontend,APAC,Healthcare,10,40,42,44,35,22,Available,0
Gerald Hensley,DevOps,APAC,FinTech,10,46,52,49,44,54,Available,0
Connor West,Backend,EMEA,Other,6,28,32,45,53,29,Partially committed,4
Donald Wright,DevOps,EMEA,Other,5,26,69,27,54,46,Partially committed,3
Jessica Callahan,Data / Database,Americas,Other,12,66,47,65,75,45,Available,0
Amber Kidd,DevOps,EMEA,Government,18,77,48,58,67,28,Available,0
Tracy House,Frontend,Americas,E-commerce,14,49,35,37,80,31,Available,0
Carol Tucker,Frontend,EMEA,Media,16,70,64,68,64,28,Partially committed,2
James Brown,Cloud,APAC,Logistics,13,57,58,74,30,79,Available,0
William Baker,Backend,APAC,Other,10,37,35,54,29,57,Partially committed,4
Jordan Henderson,Cloud,Americas,EdTech,10,57,50,67,72,80,Available,0
Whitney Peters,DevOps,EMEA,SaaS,21,81,35,58,73,42,Partially committed,4
Brittney Phillips,Other,Americas,EdTech,11,49,46,27,97,48,Partially committed,4
Lauren Daniels,Networking,EMEA,Logistics,21,81,62,87,78,42,Available,0
Amy Silva,Data / Database,EMEA,Other,0,0,54,54,44,5,Partially committed,1
Sarah Moore,DevOps,APAC,EdTech,18,66,41,80,31,63,Partially committed,3
Angela Lopez,Frontend,Americas,Gaming,13,52,28,46,74,53,Partially committed,3
Megan Young,Backend,APAC,Government,11,44,31,31,32,58,Available,0
